48386808 function calls (48375879 primitive calls) in 1121.686 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40647  465.451    0.011  609.422    0.015 id3.py:89(load)
    10893  167.284    0.015  167.284    0.015 {nt.listdir}
   296057  167.041    0.001  167.041    0.001 {nt.stat}
   164785   64.756    0.000   64.756    0.000 {method 'read' of 'file' objects}
    40647   19.428    0.000  732.936    0.018 collection.py:73(read_mp3_tag)
  2404139   18.853    0.000   26.989    0.000 collection.py:410(__setattr__)
  3156679   11.619    0.000   19.479    0.000 cp1251.py:14(decode)
  2240478   10.881    0.000   16.488    0.000 __init__.py:80(__getitem__)
   398263   10.704    0.000   72.326    0.000 id3.py:262(__read_frames)
   416877   10.343    0.000   26.217    0.000 id3.py:940(__init__)
   440416    8.976    0.000   31.275    0.000 ntpath.py:59(join)
  4767466    8.135    0.000    8.135    0.000 {method 'has_key' of 'dict' objects}
  3156679    7.859    0.000    7.859    0.000 {_codecs.charmap_decode}
4436752/4436747    7.354    0.000    7.354    0.000 {len}
   370669    7.199    0.000   34.808    0.000 id3.py:972(_readData)
  2890297    6.573    0.000    6.759    0.000 _util.py:105(__getitem__)
   401816    5.617    0.000   12.737    0.000 id3.py:663(read)
    40647    5.384    0.000  665.481    0.016 id3.py:1938(load)
    81460    4.893    0.000    4.893    0.000 {method 'close' of 'file' objects}
   736831    4.360    0.000   10.990    0.000 re.py:139(search)
   336644    4.337    0.000   17.259    0.000 id3.py:693(read)
  2001919    4.267    0.000    4.267    0.000 {setattr}
   404689    4.015    0.000   10.103    0.000 id3.py:189(loaded_frame)
    40901    3.838    0.000   47.005    0.001 mp3.py:104(__try)
   370669    3.688    0.000   56.106    0.000 id3.py:999(fromData)
    40647    3.588    0.000   23.613    0.001 id3.py:422(update_to_v24)
   776289    3.396    0.000    5.006    0.000 re.py:227(_compile)
   440416    3.228    0.000   11.286    0.000 ntpath.py:51(isabs)
  1711623    3.160    0.000    3.161    0.000 {method 'get' of 'dict' objects}
        1    3.062    3.062  753.373  753.373 collection.py:55(read_tags)
   654639    2.737    0.000    4.082    0.000 struct.py:77(unpack)
    39379    2.583    0.000    4.635    0.000 id3.py:768(set_text)
   448918    2.582    0.000    3.555    0.000 _util.py:35(has_key)
   440416    2.415    0.000    5.317    0.000 ntpath.py:116(splitdrive)
   358165    2.196    0.000    2.196    0.000 {method 'index' of 'str' objects}
  10893/1    2.082    0.000  368.312  368.312 collection.py:26(scan_fs)
   417474    1.968    0.000    4.392    0.000 {method 'decode' of 'str' objects}
      125    1.957    0.016    4.040    0.032 flac.py:572(load)
   736831    1.952    0.000    1.952    0.000 {built-in method search}
   355492    1.869    0.000    4.072    0.000 id3.py:628(read)
    44921    1.846    0.000    3.165    0.000 id3.py:519(__new__)
   358372    1.782    0.000    2.357    0.000 id3.py:605(read)
   370669    1.724    0.000   57.830    0.000 id3.py:304(__load_framedata)
   856661    1.676    0.000    1.676    0.000 {method 'strip' of 'str' objects}
   860212    1.617    0.000    1.617    0.000 {method 'append' of 'list' objects}
   404689    1.545    0.000   11.648    0.000 id3.py:198(add)
   214762    1.459    0.000  167.636    0.001 ntpath.py:267(isdir)
    39458    1.427    0.000    3.425    0.000 id3.py:1208(__get_genres)
   706089    1.399    0.000    1.399    0.000 {isinstance}
   393816    1.379    0.000    7.491    0.000 id3.py:715(validate)
   341771    1.376    0.000    2.058    0.000 id3.py:955(<lambda>)
   654639    1.345    0.000    1.345    0.000 {method 'unpack' of 'Struct' objects}
   463040    1.237    0.000    1.237    0.000 {zip}
   286687    1.222    0.000    1.222    0.000 {_codecs.utf_16_decode}
   366685    1.210    0.000    1.416    0.000 {method 'encode' of 'unicode' objects}
   286687    1.136    0.000    2.358    0.000 utf_16.py:15(decode)
    40647    1.111    0.000   11.644    0.000 id3.py:202(__load_header)
   147430    1.092    0.000    1.365    0.000 {method 'split' of 'str' objects}
    39379    1.052    0.000    2.105    0.000 id3.py:760(get_text)
   404689    0.978    0.000    0.978    0.000 _util.py:108(__setitem__)
    79847    0.874    0.000   16.185    0.000 id3.py:76(__fullread)
   401700    0.870    0.000    0.870    0.000 id3.py:633(validate)
   527535    0.862    0.000    0.862    0.000 {ord}
    40647    0.855    0.000   48.918    0.001 mp3.py:66(__init__)
   404689    0.807    0.000    0.807    0.000 id3.py:958(<lambda>)
   214762    0.806    0.000    1.227    0.000 stat.py:45(S_ISDIR)
   322992    0.799    0.000    0.799    0.000 id3.py:1125(__getitem__)
   214762    0.754    0.000    0.754    0.000 {method 'lower' of 'unicode' objects}
    31080    0.682    0.000    1.350    0.000 id3.py:1427(<lambda>)
    81294    0.627    0.000    2.719    0.000 ntpath.py:226(getsize)
    67504    0.623    0.000    1.114    0.000 id3.py:685(validate)
   236279    0.589    0.000    0.589    0.000 {locals}
   119849    0.585    0.000    0.960    0.000 {method 'join' of 'unicode' objects}
      110    0.544    0.005    1.495    0.014 flac.py:218(load)
    80871    0.515    0.000    0.713    0.000 _util.py:86(get)
    80470    0.501    0.000    1.327    0.000 id3.py:1118(__str__)
    39379    0.474    0.000    0.474    0.000 {built-in method split}
   214762    0.421    0.000    0.421    0.000 stat.py:29(S_IFMT)
    83198    0.416    0.000    0.416    0.000 {method 'seek' of 'file' objects}
    43926    0.409    0.000    0.997    0.000 {map}
    40246    0.408    0.000    0.649    0.000 _util.py:54(pop)
       26    0.401    0.015    0.637    0.024 apev2.py:206(load)
    39379    0.370    0.000    5.090    0.000 id3.py:754(__init__)
    40647    0.362    0.000  610.438    0.015 id3.py:72(__init__)
    40812    0.350    0.000    0.666    0.000 collection.py:391(__init__)
    40647    0.345    0.000  610.076    0.015 _util.py:101(__init__)
    80470    0.344    0.000    0.512    0.000 id3.py:1119(__unicode__)
    39379    0.338    0.000    2.443    0.000 id3.py:781(encode)
    40786    0.311    0.000  670.334    0.016 __init__.py:70(__init__)
    40673    0.309    0.000  610.368    0.015 __init__.py:37(__init__)
    39458    0.295    0.000    0.845    0.000 id3.py:1240(__set_genres)
    96634    0.281    0.000    0.281    0.000 {built-in method __new__ of type object at 0x1E1E8E18}
    51708    0.276    0.000    0.378    0.000 flac.py:191(__new__)
        5    0.249    0.050    0.250    0.050 {__import__}
    38411    0.232    0.000    0.232    0.000 {built-in method match}
    40524    0.223    0.000    0.468    0.000 {method 'startswith' of 'unicode' objects}
    39379    0.212    0.000    5.302    0.000 id3.py:792(validate)
    13001    0.187    0.000    0.383    0.000 id3.py:1312(<lambda>)
    39458    0.183    0.000    0.511    0.000 re.py:186(compile)
    11083    0.182    0.000    0.380    0.000 id3.py:1715(<lambda>)
    78758    0.168    0.000    0.168    0.000 {iter}
       14    0.162    0.012    0.502    0.036 ogg.py:434(load)
    39458    0.154    0.000    0.234    0.000 id3.py:1244(__decode)
    45090    0.152    0.000    0.152    0.000 {range}
    39185    0.147    0.000    0.343    0.000 id3.py:233(__determine_bpi)
    20119    0.145    0.000    0.280    0.000 id3.py:740(validate)
    53536    0.140    0.000    0.140    0.000 {method 'find' of 'str' objects}
    46544    0.129    0.000    0.129    0.000 {method 'keys' of 'dict' objects}
    39200    0.125    0.000    0.125    0.000 id3.py:308(<lambda>)
     4893    0.125    0.000    0.277    0.000 _vorbis.py:175(__getitem__)
    57444    0.121    0.000    0.121    0.000 {method 'read' of 'cStringIO.StringI' objects}
    19272    0.117    0.000    0.568    0.000 id3.py:732(read)
    49353    0.115    0.000    0.115    0.000 {method 'extend' of 'list' objects}
    38857    0.115    0.000    0.115    0.000 id3.py:642(read)
    39395    0.112    0.000    0.112    0.000 id3.py:307(<lambda>)
     1447    0.097    0.000    1.021    0.001 id3.py:1851(ParseID3v1)
    51540    0.093    0.000    0.093    0.000 {method 'lower' of 'str' objects}
    40388    0.092    0.000    0.092    0.000 _util.py:111(__delitem__)
    38411    0.086    0.000    0.086    0.000 {built-in method groups}
    39590    0.085    0.000    0.088    0.000 id3.py:646(validate)
    39898    0.078    0.000    0.078    0.000 {method 'isdigit' of 'unicode' objects}
    40723    0.078    0.000    0.078    0.000 {method 'reverse' of 'list' objects}
      131    0.073    0.001    0.134    0.001 id3.py:565(decode)
     3738    0.067    0.000    0.122    0.000 id3.py:1331(<lambda>)
    16142    0.060    0.000    0.104    0.000 id3.py:169(<lambda>)
     7025    0.059    0.000    0.126    0.000 id3.py:1861(fix)
     2779    0.047    0.000    0.090    0.000 id3.py:1506(<lambda>)
    17019    0.045    0.000    0.045    0.000 id3.py:654(validate)
    21986    0.042    0.000    0.042    0.000 {method 'startswith' of 'str' objects}
      125    0.040    0.000    4.405    0.035 collection.py:169(read_flac_tag)
     2856    0.039    0.000    0.144    0.000 {filter}
     6242    0.037    0.000    0.050    0.000 {method 'split' of 'unicode' objects}
     1428    0.032    0.000    0.150    0.000 id3.py:146(getall)
     2856    0.032    0.000    0.218    0.000 id3.py:164(delall)
    16836    0.031    0.000    0.031    0.000 id3.py:652(read)
     4893    0.029    0.000    0.060    0.000 {method 'encode' of 'str' objects}
